stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,
8220DB000115,115,Ballymun Road Church,,53.3879640919871,-6.26503610048148,,,,
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,
8220DB000126,126,Nursing Home,,53.399096,-6.264087,,,,
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,
8220DB000128,128,Glasnevin Avenue,,53.389268,-6.26569,,,,
8220DB000129,129,Glasnevin Drive,,53.38989,-6.271423,,,,
8220DB000130,130,Glasnevin Park,,53.390092,-6.274181,,,,
8220DB000131,131,Willow Park Road,,53.390386,-6.278349,,,,
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,
8220DB000136,136,McKee Road North,,53.3943802013894,-6.28985659650009,,,,
8220DB000137,137,McKee Road,,53.3923167196303,-6.29263079481432,,,,
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,
8220DB000139,139,Grove Park Road,,53.390602,-6.28646,,,,
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,
8220DB000147,147,Tolka Bridge,,53.37248,-6.265831,,,,
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,
8220DB000149,149,Tolka Bridge,,53.373139,-6.265985,,,,
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,
8220DB000151,151,Botanic Gardens,,53.3719552600192,-6.26929382771155,,,,
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,
8220DB000154,154,Cremore Avenue,,53.377259,-6.275557,,,,
8220DB000155,155,Old Finglas Road,,53.37792,-6.27951,,,,
8220DB000156,156,Northland Grove,,53.378623,-6.281665,,,,
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,
8220DB000158,158,Griffith Road,,53.381482,-6.283564,,,,
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,
8220DB000163,163,Ferndale Avenue,,53.387151,-6.279637,,,,
8220DB000170,170,Ferndale Avenue,,53.386966,-6.279269,,,,
8220DB000173,173,Glasnamana Place,,53.382122,-6.280547,,,,
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,
8220DB000175,175,Northland Grove,,53.378424,-6.281568,,,,
8220DB000176,176,Old Finglas Road,,53.378032,-6.279299,,,,
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,
8220DB000178,178,Ballygall Road East,,53.38189,-6.276347,,,,
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,
8220DB000180,180,Cremore Crescent,,53.37844,-6.276396,,,,
8220DB000181,181,Cremore Avenue,,53.37715,-6.274224,,,,
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,
8220DB000183,183,Botanic Gardens,,53.372316,-6.268753,,,,
8220DB000184,184,Fairfield Road,,53.369704,-6.268979,,,,
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000191,191,Western Way,,53.3550179485755,-6.26903378050291,,,,
8220DB000192,192,Mountjoy Street,,53.356397,-6.268077,,,,
8220DB000193,193,Clune Road,,53.3911963059787,-6.29410403487394,,,,
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,
8220DB000197,197,Monck Place,,53.358953,-6.273231,,,,
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,
8220DB000199,199,Munster Street,,53.363622,-6.272291,,,,
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,
