route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5356_123866,7778019,7E,Mountjoy Square - Dalkey,,3,,,
5356_123867,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
5356_123868,7778019,7B,Shankill - Mountjoy Square,,3,,,
5356_123869,7778019,7D,Dalkey - Mountjoy Square,,3,,,
5356_123870,7778019,27X,Clare Hall - UCD Belfield,,3,,,
5356_123871,7778019,15D,Merrion Square - Whitechurch,,3,,,
5356_123872,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
5356_123873,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
5356_123874,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
5356_123875,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
5356_123876,7778019,39A,Ongar - UCD Belfield,,3,,,
5356_123877,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
5356_123878,7778019,42D,Portmarnock - DCU,,3,,,
5356_123879,7778019,51D,Aston Quay - Clondalkin,,3,,,
5356_123880,7778019,27A,Blunden Drive - Eden Quay,,3,,,
5356_123881,7778019,68A,Hawkins Street - Bulfin Road,,3,,,
5356_123882,7778019,69X,Rathcoole - Hawkins St,,3,,,
5356_123883,7778019,L12,Ballywaltrim - Bray Dart Station,,3,,,
5356_123884,7778019,L14,Southern Cross Road - Palermo,,3,,,
5356_123885,7778019,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
5356_123886,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
5356_123887,7778019,L54,River Forest - Red Cow Luas,,3,,,
5356_123888,7778019,L58,River Forest - Castletown - Hazelhatch Stn,,3,,,
5356_123889,7778019,L59,River Forest - Celbridge - Hazelhatch,,3,,,
5356_123890,7778019,L89,Broombridge Luas - Toberburr,,3,,,
